iter	Passed	Remaining
0	150	150482
1	152	76257
2	156	52161
3	159	39600
4	164	32730
5	167	27740
6	170	24137
7	172	21406
8	174	19211
9	176	17457
10	179	16100
11	180	14859
12	183	13954
13	186	13169
14	188	12361
15	189	11668
16	193	11177
17	194	10637
18	198	10247
19	202	9938
20	203	9509
21	207	9210
22	210	8946
23	213	8677
24	217	8471
25	218	8176
26	223	8072
27	228	7940
28	232	7796
29	239	7736
30	242	7581
31	247	7493
32	252	7409
33	258	7342
34	259	7168
35	261	6989
36	264	6892
37	268	6802
38	271	6685
39	272	6545
40	274	6413
41	276	6296
42	278	6205
43	281	6123
44	283	6011
45	286	5937
46	290	5888
47	292	5801
48	294	5715
49	296	5625
50	299	5565
51	301	5490
52	304	5446
53	305	5360
54	307	5286
55	311	5242
56	313	5181
57	315	5120
58	316	5055
59	318	4985
60	320	4935
61	322	4879
62	323	4816
63	325	4760
64	330	4749
65	331	4691
66	334	4656
67	335	4594
68	336	4543
69	339	4506
70	342	4482
71	345	4454
72	347	4414
73	348	4364
74	352	4351
75	354	4308
76	356	4267
77	357	4225
78	358	4184
79	359	4139
80	361	4098
81	363	4065
82	364	4025
83	366	3997
84	368	3962
85	369	3928
86	372	3907
87	375	3888
88	376	3857
89	378	3824
90	381	3808
91	383	3784
92	387	3776993	388	3744994	389	3713995	391	3686996	393	3660997	395	3635998	397	3614999	398	35871100	399	35591101	401	35321102	403	35131103	405	34901104	406	3468
105	408	34431106	409	34201107	410	33911108	412	3367109	411	3329
110	413	3310
111	414	3286
112	415	3262
1113	418	3254114	418	3223
115	420	3204
1116	423	3195117	423	3164
118	424	3145
1119	427	31381120	429	31181121	430	31001122	432	30821123	433	30631124	435	30451125	436	30301126	438	30151127	440	3001
128	441	2984
129	442	29631130	444	29461131	445	29321132	448	2923
133	450	2913
134	452	2898
135	453	2883
136	458	2887
137	457	2857
138	459	2843
139	461	2835
140	463	2821
141	464	2807
142	466	2793
143	467	2778
144	468	2765
145	470	2749
146	471	2736
147	472	2722
148	474	2708
149	475	2694
150	477	2681
151	478	2668
152	479	2655
153	481	2643
154	482	2630
155	484	2619
156	485	2606
157	486	2592
158	487	2577
159	488	2564
160	490	2555
161	491	2543
162	493	2531
163	494	2519
164	496	2510
165	497	2499
166	498	2487
167	500	2476
168	501	2464
169	502	2453
170	503	2440
171	504	2429
172	506	2421
173	511	2426
174	512	2415
175	513	2405
176	511	2380
177	513	23691178	514	23601179	515	23501180	517	23401181	521	23441182	519	23211183	524	23261184	526	2321
185	525	22991186	526	22891187	528	22801188	533	2287
189	534	2278
190	535	2268
191	536	2259
192	535	2238
193	541	2247
194	542	2238
195	540	2216
196	546	2229
197	549	2224
198	550	2216
199	551	2207
200	553	2200
201	554	2192
202	553	2171
203	555	2166
204	556	2157
205	558	2151
206	560	2147
207	561	2139
208	563	2132
209	565	2127
210	566	2119
211	568	2111
212	569	2104
213	570	2096
214	571	2088
215	572	2078
216	573	2071
217	575	2066
218	577	2059
219	578	2051
220	586	2067
221	588	2063
222	589	2053
223	590	2047
224	592	2040
225	593	2033
226	595	2026
227	596	2020
228	598	2015
229	600	2008
230	601	2001
231	602	1995
232	604	1989
233	605	1983
234	607	1976
235	608	1970
236	609	1963
237	611	1956
238	612	1950
239	614	1945
240	615	1938
241	616	1931
242	617	1924
243	619	1918
244	620	1911
245	621	1903
246	622	1897
247	623	1890
248	625	1885
249	626	1880
250	627	1873
251	629	1868
252	630	1862
253	632	1856
254	633	1850
255	634	1844
256	629	1821
257	637	1832
258	637	1825
259	639	1819
260	640	1813
261	641	1807
262	637	1785
263	645	1800
264	647	1795
265	648	1789
266	650	1784
267	650	1778
268	652	1772
269	653	1767
270	655	1762
271	656	1757
272	657	1751
273	659	1746
274	660	1741
275	661	1736
276	663	1731
277	664	1726
278	665	1720
279	667	1715
280	668	1710
281	669	1705
282	670	1699
283	672	1694
284	673	1689
285	674	1684
286	676	1680
287	678	1676
288	679	1671
289	680	1666
290	681	1660
291	683	1656
292	684	1651
293	685	1645
294	686	1641
295	687	1636
296	689	1632
297	691	1628
298	692	1623
299	693	1619
300	695	1614
301	696	1609
302	697	1605
303	699	1600
304	700	1596
305	702	1592
306	703	1588
307	705	1584
308	706	1579
309	707	1575
310	709	1570
311	710	1566
312	711	1561
313	712	1557
314	714	1552
315	715	1548
316	716	1543
317	717	1539
318	719	1535
319	720	1531
320	722	1529
321	724	1524
322	725	1520
323	726	1516
324	728	1512
325	729	1509
326	731	1504
327	732	1500
328	734	1497
329	735	1493
330	736	1489
331	738	1486
332	740	1482
333	741	1478
334	742	1474
335	744	1470
336	745	1466
337	746	1462
338	748	1459
339	749	1455
340	751	1451
341	752	1447
342	753	1443
343	754	1439
344	756	1435
345	757	1431
346	758	1427
347	759	1423
348	761	1420
349	762	1416
350	764	1413
351	765	1409
352	767	1406
353	768	1402
354	769	1398
355	771	1394
356	772	1391
357	773	1387
358	774	1383
359	776	1379
360	777	1376
361	779	1373
362	780	1369
363	782	1366
364	783	1362
365	784	1359
366	785	1355
367	787	1352
368	788	1348
369	789	1345
370	791	1342
371	793	1338
372	794	1335
373	795	1331
374	797	1329
375	798	1325
376	799	1321
377	801	1318
378	802	1315
379	804	1312
380	805	1308
381	806	1305
382	808	1301
383	809	1298
384	810	1294
385	811	1291
386	813	1288
387	814	1284
388	815	1281
389	816	1277
390	818	1274
391	819	1270
392	820	1267
393	821	1264
394	823	1261
395	824	1257
396	826	1254
397	827	1251
398	828	1248
399	830	1245
400	831	1242
401	832	1238
402	834	1235
403	835	1233
404	837	1229
405	838	1226
406	839	1223
407	841	1220
408	842	1217
409	843	1214
410	845	1211
411	846	1208
412	847	1205
413	849	1202
414	851	1200
415	853	1198
416	854	1195
417	856	1192
418	857	1189
419	858	1185
420	860	1183
421	861	1180
422	863	1177
423	864	1174
424	865	1171
425	867	1168
426	868	1165
427	869	1162
428	871	1159
429	872	1156
430	873	1153
431	874	1150
432	875	1146
433	877	1144
434	878	1141
435	880	1139
436	881	1135
437	883	1133
438	884	1130
439	885	1127
440	887	1124
441	888	1121
442	889	1118
443	891	1115
444	892	1112
445	893	1110
446	895	1107
447	896	1104
448	898	1102
449	899	1099
450	900	1096
451	902	1093
452	903	1090
453	904	1087
454	905	1084
455	907	1082
456	908	1079
457	909	1076
458	911	1074
459	912	1071
460	914	1068
461	915	1065
462	916	1063
463	918	1060
464	919	1057
465	920	1054
466	921	1051
467	923	1049
468	924	1046
469	926	1044
470	927	1041
471	928	1038
472	930	1036
